Species	Control_replicates	Salt_replicates	Genes_tested	Upregulated_DEGs	Downregulated_DEGs	Total_DEGs
Bacillus velezensis	3	3	3248	925	968	1893
Bacillus paralicheniformis	3	3	3924	933	946	1879
