Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR19897608,2022-07-02 00:12:36,2022-06-29 12:00:51,6147149,454889026,0,74,177,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19897/SRR19897608/SRR19897608.lite.1,SRX15940579,GSM6280866,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP384171,PRJNA854068,3,854068,SRS13627605,SAMN29417796,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM6280866,,,,,,,no,,,,,"MOLECULAR GENETICS, UNIVERSITY OF GRONINGEN",SRA1445941,,public,DF9A89BA420F5A734AE6D35127CDF25D,5140CC64799B238FF0958A66567B8237
SRR15049601,2021-10-24 12:44:48,2021-07-06 15:30:57,15640489,4692146700,15640489,300,1361,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15049/SRR15049601/SRR15049601.lite.1,SRX11360072,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406436,SAMN20080051,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419896,,,,,,,no,,,,,GEO,SRA1254946,,public,9A32DA1F510B4040CD894F10AC2174E7,56033E1488FAC9A20E7CD6F80AFB2254
SRR15049596,2021-10-24 12:44:48,2021-07-06 15:31:51,17313777,5194133100,17313777,300,1526,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15049/SRR15049596/SRR15049596.lite.1,SRX11360067,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406431,SAMN20080056,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419891,,,,,,,no,,,,,GEO,SRA1254946,,public,6D118F8E41D0FC4B710F0C067E0755C5,2DF335F416D1295A0F984D1672860859
SRR15049597,2021-10-24 12:44:48,2021-07-06 15:30:24,15024640,4507392000,15024640,300,1328,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR015/15049/SRR15049597/SRR15049597.lite.1,SRX11360068,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406432,SAMN20080055,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419892,,,,,,,no,,,,,GEO,SRA1254946,,public,6CAF8DD9C5AB08885194BE548707BE39,8E5189F5B5754BCC4DC60F244F65AA2E
SRR15049598,2021-10-24 12:44:48,2021-07-06 14:51:37,16285344,4885603200,16285344,300,1445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15049/SRR15049598/SRR15049598.lite.1,SRX11360069,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406433,SAMN20080054,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419893,,,,,,,no,,,,,GEO,SRA1254946,,public,40E1864178B72B85A103968E46DBD5FC,FA6EF843A8481AABFFD45364179740E1
SRR15049599,2021-10-24 12:44:48,2021-07-06 15:18:51,19249685,5774905500,19249685,300,1692,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15049/SRR15049599/SRR15049599.lite.1,SRX11360070,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406434,SAMN20080053,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419894,,,,,,,no,,,,,GEO,SRA1254946,,public,AE1FBEC28738D849098653A517728DB3,F2AD4E4B3EF8D4F583AE895E9305B8CB
SRR15049600,2021-10-24 12:44:48,2021-07-06 15:14:40,15035062,4510518600,15035062,300,1303,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15049/SRR15049600/SRR15049600.lite.1,SRX11360071,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406435,SAMN20080052,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419895,,,,,,,no,,,,,GEO,SRA1254946,,public,256ABFB969A8BC0A390B48355CD141A7,ECC9E352A6873437E8D9357BCC488208
SRR15049591,2021-10-24 12:44:48,2021-07-06 15:19:08,16663265,4998979500,16663265,300,1451,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15049/SRR15049591/SRR15049591.lite.1,SRX11360062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406427,SAMN20080030,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419886,,,,,,,no,,,,,GEO,SRA1254946,,public,39616C423BADB2409E2BFEEFD88390C0,92D31C0F7C4912314BB465A297268324
SRR15049592,2021-10-24 12:44:48,2021-07-06 13:25:56,13576193,4072857900,13576193,300,1185,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15049/SRR15049592/SRR15049592.lite.1,SRX11360063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406426,SAMN20080029,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419887,,,,,,,no,,,,,GEO,SRA1254946,,public,9CACEC5AC15F9FFAE8DFB084CC9E7F65,58FEBE99EEBA0639368C80A66DF149BC
SRR15049593,2021-10-24 12:44:48,2021-07-06 13:41:43,14252649,4275794700,14252649,300,1244,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15049/SRR15049593/SRR15049593.lite.1,SRX11360064,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406428,SAMN20080028,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419888,,,,,,,no,,,,,GEO,SRA1254946,,public,D8FD012F5011FFC4B2CF11FE809627AB,A83C85AD7F47386D3EA4E472268DFE1E
