Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR36805037,2026-01-13 09:01:10,2026-01-13 08:57:42,7607331,2297413962,7607331,302,625,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR036/36805/SRR36805037/SRR36805037.lite.1,SRX31791155,Salt3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP661820,PRJNA1402157,,1402157,SRS27750896,SAMN54582507,simple,492670,Bacillus velezensis,Salt3,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2314658,,public,FF5F1364E97F03ABCD9F956AF9B3909F,55836347DCE4EFBBD96FB026DC4DC2CA
SRR36805038,2026-01-13 09:02:57,2026-01-13 08:57:52,7693050,2323301100,7693050,302,639,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR036/36805/SRR36805038/SRR36805038.lite.1,SRX31791154,Salt2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP661820,PRJNA1402157,,1402157,SRS27750897,SAMN54582506,simple,492670,Bacillus velezensis,Salt2,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2314658,,public,EF25A9D3134F258526B97B26091D8AEB,E815544741C7D9C79F9DCC72E779CF96
SRR36805039,2026-01-13 09:02:56,2026-01-13 08:57:50,7565119,2284665938,7565119,302,623,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR036/36805/SRR36805039/SRR36805039.lite.1,SRX31791153,Salt1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP661820,PRJNA1402157,,1402157,SRS27750895,SAMN54582505,simple,492670,Bacillus velezensis,Salt1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2314658,,public,1961D6C6CE1405FB6D834BE503C59907,2F9A75E33826A767F13D9CFA02C849BD
SRR36805040,2026-01-13 09:01:10,2026-01-13 08:57:49,7424140,2242090280,7424140,302,614,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR036/36805/SRR36805040/SRR36805040.lite.1,SRX31791152,Control3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP661820,PRJNA1402157,,1402157,SRS27750894,SAMN54582504,simple,492670,Bacillus velezensis,Control3,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2314658,,public,FE178A1E98FC0ECF0AF313C0036E67A8,A5FA142BEE8DE6FE4AC685CF1CC86A7C
SRR36805041,2026-01-13 09:01:10,2026-01-13 08:57:49,8231935,2486044370,8231935,302,674,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR036/36805/SRR36805041/SRR36805041.lite.1,SRX31791151,Control2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP661820,PRJNA1402157,,1402157,SRS27750893,SAMN54582503,simple,492670,Bacillus velezensis,Control2,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2314658,,public,D11CE2C809CF3FD2CEFD360720604FFB,1DE05211E1B133C19E1DFED714E4D8EF
SRR36805042,2026-01-13 09:02:56,2026-01-13 08:57:55,7506109,2266844918,7506109,302,620,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR036/36805/SRR36805042/SRR36805042.lite.1,SRX31791150,Control1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP661820,PRJNA1402157,,1402157,SRS27750892,SAMN54582502,simple,492670,Bacillus velezensis,Control1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA2314658,,public,16C2B5F1C8515DBE9D749F121C6F0EA8,1465A81930606247099CF790113BCB9C
