set	KO	definition	foreground_with_KO	foreground_total	background_with_KO	background_total	oddsratio	pvalue	padj
opposite	K02406	flagellin	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K02490	two-component system, response regulator, stage 0 sporulation protein F	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K02518	translation initiation factor IF-1	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K02823	dihydroorotate dehydrogenase electron transfer subunit	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K02824	uracil permease	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K02897	large subunit ribosomal protein L25	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03076	preprotein translocase subunit SecY	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03206	azobenzene reductase [EC:1.7.1.6]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03296	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03320	ammonium transporter, Amt family	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03322	manganese transport protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03328	polysaccharide transporter, PST family	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03480	transcriptional antiterminator	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03483	mannitol operon transcriptional activator	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03524	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03544	ATP-dependent Clp protease ATP-binding subunit ClpX	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03713	MerR family transcriptional regulator, glutamine synthetase repressor	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03794	sirohydrochlorin ferrochelatase [EC:4.99.1.4]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03795	sirohydrochlorin cobaltochelatase [EC:4.99.1.3]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03800	lipoate---protein ligase [EC:6.3.1.20]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K03886	quinol---cytochrome c reductase iron-sulfur subunit, bacillus type [EC:7.1.1.8]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K04061	flagellar biosynthesis protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K04565	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K04767	acetoin utilization protein AcuB	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K04768	acetoin utilization protein AcuC	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K04769	AbrB family transcriptional regulator, stage V sporulation protein T	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K05808	ribosome hibernation promoting factor	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K05817	LysR family transcriptional regulator, hca operon transcriptional activator	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06298	germination protein M	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06401	stage IV sporulation protein FA	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06423	small acid-soluble spore protein F	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06878	tRNA-binding protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06929	uncharacterized protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K06956	uncharacterized protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K07017	ferri-bacillibactin esterase [EC:3.1.-.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K07213	copper chaperone	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K07250	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K07795	putative tricarboxylic transport membrane protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K08174	MFS transporter, FHS family, glucose/mannose:H+ symporter	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K08483	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K09767	cyclic-di-GMP-binding protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K10009	L-cystine transport system permease protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K10010	L-cystine transport system ATP-binding protein [EC:7.4.2.1]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K10806	acyl-CoA thioesterase [EC:3.1.2.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K11626	putative sodium/glutamine symporter	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K13275	major intracellular serine protease [EC:3.4.21.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K13955	zinc-binding alcohol dehydrogenase/oxidoreductase	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K14956	ESAT-6 family protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K15519	deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16044	scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16264	cobalt-zinc-cadmium efflux system protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16331	sulfate permease	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16698	teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16699	teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16706	teichuronic acid biosynthesis protein TuaF	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16789	thiamine transporter	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16869	octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K16920	acetoin utilization transport system ATP-binding protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K17216	cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K17217	cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K17462	putative AdoMet-dependent methyltransferase [EC:2.1.1.-]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K17686	P-type Cu+ transporter [EC:7.2.2.8]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K18231	macrolide transport system ATP-binding/permease protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K20487	two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K20490	lantibiotic transport system ATP-binding protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
opposite	K20491	lantibiotic transport system permease protein	1	173	1	2017	inf	0.08577094695091719	0.11071143507139666
