set	KO	definition	foreground_with_KO	foreground_total	background_with_KO	background_total	oddsratio	pvalue	padj
conserved_down	K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K00819	ornithine--oxo-acid transaminase [EC:2.6.1.13]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K00853	L-ribulokinase [EC:2.7.1.16]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K00903	protein-tyrosine kinase [EC:2.7.10.3]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01046	triacylglycerol lipase [EC:3.1.1.3]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01119	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01198	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01209	alpha-L-arabinofuranosidase [EC:3.2.1.55]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01216	licheninase [EC:3.2.1.73]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01224	arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01255	leucyl aminopeptidase [EC:3.4.11.1]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01269	aminopeptidase [EC:3.4.11.-]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01299	carboxypeptidase Taq [EC:3.4.17.19]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01303	acylaminoacyl-peptidase [EC:3.4.19.1]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01342	subtilisin [EC:3.4.21.62]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01661	naphthoate synthase [EC:4.1.3.36]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01720	2-methylcitrate dehydratase [EC:4.2.1.79]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01755	argininosuccinate lyase [EC:4.3.2.1]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01937	CTP synthase [EC:6.3.4.2]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K01940	argininosuccinate synthase [EC:6.3.4.5]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02027	multiple sugar transport system substrate-binding protein	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02115	F-type H+-transporting ATPase subunit gamma	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02242	competence protein ComFC	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02356	elongation factor P	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02874	large subunit ribosomal protein L14	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02892	large subunit ribosomal protein L23	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
conserved_down	K02904	large subunit ribosomal protein L29	1	176	1	2017	inf	0.0872583044124938	0.11295766804083102
