Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR17951568,2022-02-08 20:39:12,2022-02-08 19:46:55,35198140,10629838280,35198140,302,3166,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR017/17951/SRR17951568/SRR17951568.lite.1,SRX14108416,Con2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP358975,PRJNA804578,,804578,SRS11930649,SAMN25760021,simple,4565,Triticum aestivum,Con2,,,,,,,no,,,,,ZHOUKOU NORMAL UNIVERSITY,SRA1368929,,public,880440ACFE71C48F277C5378E4DAC61B,542A81EC03373E4DAD6E127D669578AA
SRR17951569,2022-02-08 20:39:12,2022-02-08 19:48:35,31762527,9592283154,31762527,302,2867,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17951/SRR17951569/SRR17951569.lite.1,SRX14108415,Con1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP358975,PRJNA804578,,804578,SRS11930648,SAMN25760020,simple,4565,Triticum aestivum,Con1,,,,,,,no,,,,,ZHOUKOU NORMAL UNIVERSITY,SRA1368929,,public,36FDAA3BDB0B22E5DA406FA0AB9D48E4,0E65EBCA4CBA3FD701B75B8D278E909B
SRR3488630,2016-05-11 15:47:24,2016-05-09 18:21:34,8069190,1044696570,0,129,798,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488630/SRR3488630.lite.1,SRX1750668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428457,SAMN04962906,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147020,,,,,,,no,,,,,GEO,SRA424307,,public,C89456F6883ABE7BD1927F7C6E3ECB8C,9E409AAAC35EF0B2CF6CF4D1AF54B6E7
SRR3488631,2016-05-11 15:47:24,2016-05-09 18:20:57,11077704,1517234241,0,136,1155,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488631/SRR3488631.lite.1,SRX1750669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428458,SAMN04962907,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147021,,,,,,,no,,,,,GEO,SRA424307,,public,84D10BFBB1B9BFEEDF3130CEA471A593,7BA11867C2F65357B7EC1657F3A63812
SRR3488632,2016-05-11 15:47:24,2016-05-09 18:20:39,10264883,1360996856,0,132,1039,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488632/SRR3488632.lite.1,SRX1750670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428459,SAMN04962908,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147022,,,,,,,no,,,,,GEO,SRA424307,,public,268E3D7E3CACD849E0295A7406C5DF64,77470BE2CCC4AE115C7ECD66DEA9643D
SRR3488633,2016-05-11 15:47:24,2016-05-09 18:21:56,12877261,1739047701,0,135,1326,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488633/SRR3488633.lite.1,SRX1750671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428460,SAMN04962909,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147023,,,,,,,no,,,,,GEO,SRA424307,,public,B9BD9A3EF9878770464CB1F15645A11D,9B349BC076FC747D0CC0B21C9B9E11EE
SRR3488634,2016-05-11 15:47:24,2016-05-09 18:20:23,9182674,1147710333,0,124,877,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488634/SRR3488634.lite.1,SRX1750672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428461,SAMN04962910,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147024,,,,,,,no,,,,,GEO,SRA424307,,public,FB9AA093ED0145FDEB169958CCF1E71D,E0E2528A3FB32D26B55DBAE22214E92C
SRR3488624,2016-05-11 15:47:24,2016-05-09 18:20:51,10215022,1384905819,0,135,1056,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488624/SRR3488624.lite.1,SRX1750662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428450,SAMN04962900,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147014,,,,,,,no,,,,,GEO,SRA424307,,public,8B7F6C7FB2C0D3689926E2546D275A20,FAC40B1865470905D101947AEC1999CA
SRR3488625,2016-05-11 15:47:24,2016-05-09 18:21:02,9468524,1313501749,0,138,1000,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488625/SRR3488625.lite.1,SRX1750663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428453,SAMN04962901,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147015,,,,,,,no,,,,,GEO,SRA424307,,public,15A614E6D00DF06EFAD706A223160883,D327860D89CFA71BB79239242B6AA6FC
SRR3488626,2016-05-11 15:47:24,2016-05-09 18:22:33,9377023,1273158161,0,135,969,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488626/SRR3488626.lite.1,SRX1750664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428452,SAMN04962902,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147016,,,,,,,no,,,,,GEO,SRA424307,,public,BDD48B7CE5707C68C0120DED355E00D0,888685C2F91712722992D52CBB1C540E
SRR3488628,2016-05-11 15:47:24,2016-05-09 18:20:19,8808097,1140844117,0,129,871,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488628/SRR3488628.lite.1,SRX1750666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428455,SAMN04962904,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147018,,,,,,,no,,,,,GEO,SRA424307,,public,8010F31C5A9FECB3537868045A96A47B,72B4A0DA873E95205721FFBBAFF40B61
SRR3488629,2016-05-11 15:47:24,2016-05-09 18:20:42,10487594,1415374658,0,134,1076,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488629/SRR3488629.lite.1,SRX1750667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428456,SAMN04962905,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147019,,,,,,,no,,,,,GEO,SRA424307,,public,8FAF48B1ABFB323DF965D639114F800B,1B4B181D46F6E01D5DA62023FD9A0439
SRR3488622,2016-05-11 15:47:24,2016-05-09 18:20:40,10294457,1312023473,0,127,1002,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/488/SRR3488622/SRR3488622.lite.1,SRX1750660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP074602,PRJNA321031,2,321031,SRS1428449,SAMN04962898,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2147012,,,,,,,no,,,,,GEO,SRA424307,,public,7D31AD5F9E1AC8BE57FFC994A6172611,0BF8107C0991A915756C61C2AB36A089
