sample_id	PC1	PC2	group	condition	name
Control1	-41.15528457834205	0.5700127022313042	control	control	Control1
Control2	-42.3844831059359	-0.9269720089365638	control	control	Control2
Control3	-40.82519388990081	0.4170863154501139	control	control	Control3
Salt1	42.11331503447112	3.6727882025665064	salt	salt	Salt1
Salt2	41.116490845528425	-4.189532987328276	salt	salt	Salt2
Salt3	41.135155694179204	0.4566177760169204	salt	salt	Salt3
