gene_label	Bvelezensis	Bparalicheniformis
acoB	-13.324400098800346	3.461212273905089
gene-ACSAL1 RS03815	3.199668833549508	7.526635975934568
betB	9.031164912910793	1.6817709586311131
proC	6.6109245653865	4.030802150286297
proB	5.651574961305816	4.669124185727576
bglS	-7.831193880278129	-2.0062871553606927
xynC	-3.931865011062726	-5.604333991616759
xynA	-4.6499084786959255	-4.830026554918872
gbsB	8.191428088473684	1.077519362569429
putP	5.365230475091405	3.515375190125015
pgsB	4.862568613443718	2.7795226158647184
gene-ACSAL1 RS06155	-4.056581530462951	-3.237853218681953
gene-ACSAL1 RS15555	4.5809893873153245	2.407085786537572
gene-ACSAL1 RS03260	2.084538075393253	-4.802351007364711
bcaP	2.8475721498146105	3.9548439060205247
pgsC	4.035579409374109	2.6565147089535497
gene-ACSAL1 RS14880	4.0451280043721525	2.463485757789753
nhaC	2.5663934508619137	3.607973905812304
cax	1.5621962991962208	4.221194628906001
cimH	2.1270939898983303	3.6371951882411935
fabHB	-1.2965613643898437	-4.368438428530614
gbsR	3.268410763367283	-2.241624484169217
opuCD	4.497788556616006	-1.012236443237037
gene-ACSAL1 RS14865	1.5416771575832595	-3.957512289066453
gene-ACSAL1 RS15770	1.9849333824227184	3.3668972460128943
gene-ACSAL1 RS12430	3.715114580233618	-1.5830758633695157
atpD	-2.0263806384706347	-3.0600091153813995
opuAA	2.7062858342601133	2.3500364321204543
gene-ACSAL1 RS01035	1.839758709499272	-3.146216833642523
narH	3.588000856490259	1.3632716721045643
